Year,Geographical region,Country of nationality,Total,Work,Study,Family,Other 
 2004,*Total,*Total,"12,000,000","233,000","307,000","44,300","11,500,000"
 2004,Africa North,*Total Africa North,"124,000","1,570","5,930","1,160","115,000"
 2004,Africa Sub-Saharan,*Total Africa Sub-Saharan,"1,080,000","43,600","21,700","7,110","1,010,000"
 2004,America North,*Total America North,"4,900,000","31,800","69,700","2,590","4,800,000"
 2004,America Central and South,*Total America Central and South ,"505,000","5,700","24,000","2,120","473,000"
 2004,Asia Central,*Total Asia Central,"31,300",380,"2,960",560,"27,400"
 2004,Asia East,*Total Asia East,"1,220,000","10,200","73,400","1,600","1,130,000"
 2004,Asia South,*Total Asia South,"950,000","44,200","37,000","17,000","852,000"
 2004,Asia South East,*Total Asia South East,"474,000","18,200","18,200","3,610","434,000"
 2004,EU 14,*Total EU 14,z,z,z,z,z
 2004,EU 2,*Total EU 2,"139,000","8,370","2,010",595,"128,000"
 2004,EU 8,*Total EU 8,"290,000","10,600","7,550",215,"272,000"
 2004,EU Other,*Total EU Other,"67,600",475,"1,340",75,"65,700"
 2004,Europe Other,*Total Europe Other,"472,000","17,200","23,800","3,680","427,000"
 2004,Middle East,*Total Middle East,"500,000","2,740","15,700","1,850","480,000"
 2004,Oceania,*Total Oceania,"1,200,000","37,400","2,350","1,790","1,160,000"
 2004,Other,*Total Other,"92,800",260,"1,010",270,"91,300"
 2004,Asia Central,Afghanistan,"9,470",25,75,440,"8,930"
 2004,Europe Other,Albania,"12,200",205,340,875,"10,700"
 2004,Africa North,Algeria,"28,900",105,410,340,"28,000"
 2004,Oceania,American Samoa,65,0,0,0,65
 2004,Europe Other,Andorra,725,*,10,0,715
 2004,Africa Sub-Saharan,Angola,"5,340",95,220,5,"5,010"
 2004,Other,Anguilla (British),5,0,0,0,5
 2004,America Central and South,Antigua and Barbuda,"2,550",15,60,10,"2,470"
 2004,America Central and South,Argentina,"40,700",775,865,85,"38,900"
 2004,Europe Other,Armenia,"3,480",145,95,15,"3,220"
 2004,America Central and South,Aruba,370,5,0,0,365
 2004,Oceania,Australia,"917,000","28,500","1,890","1,170","885,000"
 2004,EU 14,Austria,z,z,z,z,z
 2004,Europe Other,Azerbaijan,"7,100",145,420,35,"6,500"
 2004,America Central and South,"Bahamas, The","3,660",20,150,*,"3,490"
 2004,Middle East,Bahrain,"16,300",60,635,5,"15,600"
 2004,Asia South,Bangladesh,"47,000","2,710","2,350","1,900","40,100"
 2004,America Central and South,Barbados,"12,200",115,200,60,"11,900"
 2004,Europe Other,Belarus,"13,000","2,140",525,55,"10,300"
 2004,EU 14,Belgium,z,z,z,z,z
 2004,America Central and South,Belize,"1,260",20,30,5,"1,200"
 2004,Africa Sub-Saharan,Benin,790,20,30,*,735
 2004,Other,Bermuda (British),370,*,*,0,370
 2004,Asia South,Bhutan,225,5,15,*,205
 2004,America Central and South,Bolivia,"5,480",15,260,25,"5,180"
 2004,America Central and South,"Bonaire, Sint Eustatius and Saba",z,z,z,z,z
 2004,Europe Other,Bosnia and Herzegovina,"7,340",80,170,45,"7,040"
 2004,Africa Sub-Saharan,Botswana,"4,230",235,320,15,"3,660"
 2004,America Central and South,Brazil,"141,000","1,120","11,100",420,"128,000"
 2004,Other,British overseas citizens,"13,000",85,730,15,"12,200"
 2004,Asia South East,Brunei,"6,380",75,475,20,"5,820"
 2004,EU 2,Bulgaria,"72,400","4,310",980,270,"66,800"
 2004,Africa Sub-Saharan,Burkina,370,35,10,*,320
 2004,Asia South East,Burma,"2,950",55,220,25,"2,650"
 2004,Africa Sub-Saharan,Burundi,460,5,5,20,430
 2004,Asia South East,Cambodia,665,5,30,15,610
 2004,Africa Sub-Saharan,Cameroon,"9,770",135,375,55,"9,210"
 2004,America North,Canada,"852,000","7,850","5,680",540,"838,000"
 2004,Africa Sub-Saharan,Cape Verde,370,25,5,0,345
 2004,Other,Cayman Islands (British),135,0,*,0,130
 2004,Africa Sub-Saharan,Central African Republic,70,0,10,0,60
 2004,Africa Sub-Saharan,Chad,115,10,5,5,95
 2004,America Central and South,Chile,"23,200",205,820,65,"22,100"
 2004,Asia East,China,"261,000","3,340","25,000",790,"232,000"
 2004,Oceania,Christmas Island,0,0,0,0,0
 2004,Oceania,Cocos (Keeling) Islands,0,0,0,0,0
 2004,America Central and South,Colombia,"34,300",290,"2,630",255,"31,200"
 2004,Africa Sub-Saharan,Comoros,120,0,*,*,115
 2004,Africa Sub-Saharan,Congo,"6,090",35,100,85,"5,870"
 2004,Africa Sub-Saharan,Congo (Democratic Republic),"2,200",45,25,75,"2,050"
 2004,Oceania,Cook Islands,0,0,0,0,0
 2004,America Central and South,Costa Rica,"4,940",20,95,5,"4,820"
 2004,EU Other,Croatia,"29,800",350,835,65,"28,600"
 2004,America Central and South,Cuba,"3,950",230,55,75,"3,590"
 2004,America Central and South,Curacao,z,z,z,z,z
 2004,EU Other,Cyprus,"22,600",50,400,5,"22,200"
 2004,Europe Other,Cyprus (Northern part of),"3,910",10,40,20,"3,840"
 2004,EU 8,Czech Republic,"54,200","1,330","1,220",30,"51,600"
 2004,EU 14,Denmark,z,z,z,z,z
 2004,Africa Sub-Saharan,Djibouti,285,10,5,5,270
 2004,America Central and South,Dominica,"1,120",15,30,15,"1,050"
 2004,America Central and South,Dominican Republic,"2,460",40,60,40,"2,320"
 2004,Asia South East,East Timor,45,0,0,0,45
 2004,America Central and South,Ecuador,"7,400",60,400,55,"6,880"
 2004,Africa North,Egypt,"42,900",730,"1,140",265,"40,700"
 2004,America Central and South,El Salvador,"2,070",5,50,0,"2,010"
 2004,Africa Sub-Saharan,Equatorial Guinea,205,0,10,*,195
 2004,Africa Sub-Saharan,Eritrea,"2,030",300,25,65,"1,640"
 2004,EU 8,Estonia,"9,280",150,80,*,"9,050"
 2004,Africa Sub-Saharan,Ethiopia,"7,900",385,200,130,"7,190"
 2004,Other,Falkland Islands (British),10,0,0,0,10
 2004,Europe Other,Faroe Islands,730,5,5,0,720
 2004,Oceania,Fiji,"2,880",45,10,70,"2,760"
 2004,EU 14,Finland,z,z,z,z,z
 2004,Europe Other,Former Yugoslavia,z,z,z,z,z
 2004,EU 14,France,z,z,z,z,z
 2004,America Central and South,French Guiana,0,0,0,0,0
 2004,Oceania,French Polynesia,0,0,0,0,0
 2004,Africa Sub-Saharan,Gabon,515,10,30,5,465
 2004,Africa Sub-Saharan,"Gambia, The","10,500",70,440,195,"9,810"
 2004,Europe Other,Georgia,"5,410",160,585,30,"4,630"
 2004,EU 14,Germany,z,z,z,z,z
 2004,Africa Sub-Saharan,Ghana,"78,300","3,680","2,590",920,"71,100"
 2004,Other,Gibraltar (British),5,0,0,0,5
 2004,EU 14,Greece,z,z,z,z,z
 2004,Europe Other,Greenland,65,*,0,0,60
 2004,America Central and South,Grenada,"3,040",30,75,20,"2,920"
 2004,America Central and South,Guadeloupe,0,0,0,0,0
 2004,Oceania,Guam,0,0,0,0,0
 2004,America Central and South,Guatemala,"3,680",15,90,15,"3,560"
 2004,Africa Sub-Saharan,Guinea,"1,670",30,105,20,"1,520"
 2004,Africa Sub-Saharan,Guinea-Bissau,180,5,10,5,160
 2004,America Central and South,Guyana,"5,400",340,80,65,"4,920"
 2004,America Central and South,Haiti,555,35,15,0,505
 2004,Oceania,Heard Island and McDonald Islands,0,0,0,0,0
 2004,America Central and South,Honduras,"1,620",10,30,5,"1,580"
 2004,Asia East,Hong Kong,"91,300",835,"6,910",165,"83,400"
 2004,EU 8,Hungary,"38,100",835,755,20,"36,500"
 2004,Europe Other,Iceland,z,z,z,z,z
 2004,Asia South,India,"616,000","35,000","18,200","5,390","557,000"
 2004,Asia South East,Indonesia,"25,000","1,410",895,155,"22,500"
