Type,Broad Category,,Category,2007 Q1,2007 Q2,2007 Q3,2007 Q4,2008 Q1,2008 Q2,2008 Q3,2008 Q4,2009 Q1,2009 Q2,2009 Q3,2009 Q4,2010 Q1,2010 Q2,2010 Q3,2010 Q4,2011 Q1,2011 Q2,2011 Q3,2011 Q4,2012 Q1,2012 Q2,2012 Q3,2012 Q4,2013 Q1,2013 Q2,2013 Q3,2013 Q4,2014 Q1,2014 Q2,2014 Q3,2014 Q4,2015 Q1,2015 Q2,2015 Q3,2015 Q4,2016 Q1,2016 Q2,2016 Q3,2016 Q4
*Total,*Total,*Total,*Total,"2,600,000","3,740,000","4,280,000","2,780,000","2,590,000","3,540,000","3,950,000","2,550,000","2,300,000","3,290,000","4,020,000","2,700,000","2,440,000","3,270,000","4,030,000","2,750,000","2,500,000","3,850,000","4,250,000","2,730,000","2,550,000","3,690,000","3,990,000","2,690,000","2,490,000","3,920,000","4,590,000","3,000,000","2,620,000","4,160,000","4,810,000","3,050,000","2,870,000","4,210,000","5,000,000","3,210,000","2,840,000","4,290,000","5,440,000","3,730,000"
Work,*Total,*Total,*Total,"49,400","60,100","56,100","38,400","41,500","49,900","51,800","39,600","38,500","44,700","44,600","33,400","35,900","44,800","48,300","34,000","36,100","43,100","40,400","29,100","32,200","40,300","41,500","28,500","32,800","42,500","47,600","33,600","34,400","42,400","50,200","36,200","40,100","44,300","50,900","35,200","38,700","55,900","50,100","35,300"
Study,*Total (incl. student visitors),*Total,*Total,"69,000","97,600","166,000","45,500","71,300","75,100","187,000","57,500","81,100","71,600","232,000","105,000","114,000","94,000","230,000","97,400","117,000","104,000","230,000","77,800","92,200","108,000","246,000","63,800","77,700","81,900","230,000","72,200","92,500","96,200","217,000","67,000","87,200","99,200","232,000","73,800","84,600","83,800","201,000","60,500"
Family,*Total,*Total,*Total,"14,100","15,300","17,600","13,700","12,900","13,500","14,300","11,900","10,800","10,200","9,700","10,900","10,000","9,860","11,500","12,000","10,500","8,600","9,470","9,100","7,740","7,520","8,670","7,730","4,920","5,140","6,530","6,500","5,540","6,020","5,160","5,040","5,290","5,090","5,470","5,760","4,970","4,790","4,900","5,640"
Visitor,*Total,*Total,*Total,"1,300,000","2,140,000","2,540,000","1,570,000","1,250,000","2,030,000","2,280,000","1,430,000","1,090,000","1,910,000","2,350,000","1,510,000","1,190,000","1,860,000","2,390,000","1,600,000","1,260,000","2,380,000","2,640,000","1,620,000","1,320,000","2,260,000","2,440,000","1,670,000","1,400,000","2,530,000","2,910,000","1,850,000","1,410,000","2,660,000","3,200,000","1,890,000","1,620,000","2,610,000","3,200,000","2,000,000","1,540,000","2,560,000","3,630,000","2,410,000"
Other,*Total,*Total,*Total,"1,160,000","1,430,000","1,500,000","1,110,000","1,210,000","1,370,000","1,410,000","1,010,000","1,080,000","1,260,000","1,380,000","1,040,000","1,090,000","1,270,000","1,360,000","1,000,000","1,080,000","1,310,000","1,330,000","989,000","1,100,000","1,270,000","1,250,000","915,000","972,000","1,260,000","1,400,000","1,040,000","1,090,000","1,360,000","1,340,000","1,050,000","1,120,000","1,450,000","1,510,000","1,090,000","1,170,000","1,580,000","1,550,000","1,220,000"
Work,PBS,*Total,*Total,z,z,z,z,20,10,"1,310","3,010","14,800","27,700","30,500","25,000","29,000","36,200","39,000","29,000","31,600","35,700","33,600","25,100","28,400","34,500","35,400","24,800","28,400","35,800","39,000","28,600","30,500","36,700","40,800","30,500","34,300","38,100","41,500","29,100","32,300","37,800","38,400","28,400"
Work,Pre-PBS and Non-PBS,*Total,*Total,"49,400","60,100","56,100","38,400","41,500","49,900","50,500","36,600","23,700","17,100","14,100","8,390","6,930","8,620","9,320","5,050","4,520","7,410","6,730","3,950","3,790","5,890","6,080","3,680","4,460","6,740","8,570","5,000","3,980","5,630","9,440","5,720","5,800","6,190","9,430","6,150","6,330","18,100","11,700","6,890"
Work,Tier 1 - PBS,Main,*Total,z,z,z,z,15,5,910,"2,310","5,250","5,710","4,470","3,200","3,680","3,960","5,040","3,730","4,540","3,070","2,270","1,800","2,330","2,410","2,240","1,180",915,780,935,505,445,685,685,565,595,345,445,225,300,280,380,290
Work,Tier 1 - PBS,Dependant,*Total,z,z,z,z,5,5,400,645,"1,580","2,410","2,360","2,220","2,210","2,730","3,450","2,980","2,850","3,020","2,790","2,170","2,200","2,070","2,080","1,580","1,800","1,830","1,860","1,410","1,130","1,120","1,330","1,000","1,030",815,755,400,470,355,500,370
Work,Tier 2 - PBS,Main,*Total ,z,z,z,z,z,z,z,5,"3,070","5,810","8,170","7,500","9,720","9,730","10,900","7,350","8,640","8,350","9,430","7,280","8,920","9,140","11,900","7,660","9,670","10,300","12,300","9,150","11,400","11,400","14,100","11,400","14,000","12,600","15,000","11,700","13,800","13,200","14,000","10,700"
Work,Tier 2 - PBS,Dependant,*Total ,z,z,z,z,z,z,z,0,715,"2,050","3,540","2,950","3,560","4,630","5,610","4,280","4,530","5,330","5,910","4,100","4,240","5,290","5,890","3,990","5,300","6,500","8,000","5,800","5,940","7,130","8,050","5,950","6,530","8,250","8,610","5,820","6,440","7,620","8,200","5,950"
Work,Tier 5 - PBS,Main,*Total,z,z,z,z,z,z,z,50,"4,120","11,500","11,700","8,800","9,580","14,800","13,600","10,300","10,700","15,500","12,800","9,520","10,500","15,200","12,800","10,100","10,200","15,500","15,000","11,200","11,300","16,100","16,100","11,200","11,700","15,800","16,200","10,700","10,900","16,000","14,800","10,700"
Work,Tier 5 - PBS,Dependant,*Total,z,z,z,z,z,z,z,5,30,145,245,295,245,320,360,290,310,420,475,265,245,315,505,370,470,840,915,465,275,365,555,325,435,345,545,295,390,335,510,345
Study,*Total (excl. student visitors),*Total,*Total,"69,000","97,600","165,000","43,800","50,200","35,100","122,000","40,400","49,400","27,100","142,000","73,100","67,800","35,300","137,000","56,100","66,500","43,700","127,000","29,700","30,700","24,900","130,000","25,600","25,400","21,000","129,000","23,800","25,700","18,900","127,000","22,200","20,600","16,500","129,000","19,100","16,000","15,000","130,000","18,900"
Study,Tier 4 - PBS,*Total,*Total,z,z,z,z,z,z,z,z,*,"7,210","126,000","65,800","58,500","26,900","132,000","48,400","58,900","37,400","122,000","26,500","27,100","17,900","123,000","21,500","24,100","18,300","128,000","23,500","25,500","18,700","126,000","21,700","20,600","16,500","129,000","19,100","15,900","14,900","129,000","18,900"
Study,Pre-PBS and Non-PBS,*Total,*Total,"69,000","97,600","165,000","43,800","50,200","35,100","122,000","40,400","49,400","19,900","16,000","7,300","9,350","8,350","4,810","7,740","7,620","6,270","4,820","3,180","3,590","6,910","6,410","4,120","1,300","2,630","1,160",270,255,190,475,520,15,5,30,25,45,50,115,15
Work,Tier 1 - PBS,Main,Tier 1 - Entrepreneur,z,z,z,z,*,0,10,15,15,20,45,45,35,35,80,30,65,80,95,80,95,125,140,115,200,150,255,205,195,240,325,210,255,170,255,140,175,160,215,155
Work,Tier 1 - PBS,Main,Tier 1 - General,z,z,z,z,15,5,855,"2,100","4,400","4,750","3,560","2,330","2,630","2,950","3,850","2,740","3,210","1,950","1,290",915,920,"1,040","1,320",650,435,395,410,175,120,225,165,110,120,85,90,55,55,70,80,60
Work,Tier 1 - PBS,Main,Tier 1 - Investors,z,z,z,z,0,0,10,10,20,25,45,20,35,35,55,25,35,30,60,55,45,75,115,60,45,55,140,75,95,165,150,200,190,60,50,15,35,20,45,25
Work,Tier 1 - PBS,Main,Tier 1 - Post study,z,z,z,z,0,0,35,175,810,910,825,810,975,945,"1,060",935,"1,240","1,010",820,745,"1,240","1,160",660,350,230,180,135,50,35,55,40,40,30,30,40,15,10,10,10,20
