Year end,Main reason for migration,All citizenships,British (Including Overseas Territories),Non-British,European Union,European Union EU15,European Union EU8,European Union EU2,European Union Other,All,Other Europe,Asia,Middle East and Central Asia,East Asia,South Asia,South East Asia,Rest of the World,Sub-Saharan Africa,North Africa,North America,Central and South America,Oceania
YE Sep 07,All reasons,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
YE Dec 07,All reasons,527,71,455,172,63,103,5,1,283,12,176,14,34,101,27,96,35,5,19,10,27
YE Mar 08,All reasons,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
YE Jun 08,All reasons,521,78,443,163,58,95,9,1,280,11,169,14,36,92,28,100,37,6,20,10,27
YE Sep 08,All reasons,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
YE Dec 08,All reasons,538,82,456,178,83,76,17,3,278,10,163,18,32,80,32,105,38,7,24,13,23
YE Mar 09,All reasons,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
YE Jun 09,All reasons,518,89,429,165,76,71,14,4,264,10,165,19,32,86,27,90,35,6,20,10,18
YE Sep 09,All reasons,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
YE Dec 09,All reasons,528,98,430,150,76,57,13,4,280,9,193,17,38,110,29,77,29,2,23,7,17
YE Mar 10,All reasons,553,98,455,157,75,64,15,3,298,9,212,17,39,123,33,78,25,2,24,8,18
YE Jun 10,All reasons,548,96,452,159,79,62,14,3,293,9,208,16,39,121,32,76,24,2,24,9,17
YE Sep 10,All reasons,566,92,475,165,76,76,9,4,310,9,222,16,42,130,34,78,24,6,20,10,19
YE Dec 10,All reasons,553,93,460,156,68,76,9,4,304,9,212,15,42,124,31,82,23,6,22,9,22
YE Mar 11,All reasons,540,91,449,149,67,71,7,4,300,9,211,16,42,125,28,80,21,6,23,8,21
YE Jun 11,All reasons,553,87,466,157,70,77,6,4,309,8,224,15,40,140,28,77,22,7,21,7,21
YE Sep 11,All reasons,546,81,465,148,71,66,10,1,317,9,233,15,54,142,22,74,20,3,26,5,20
YE Dec 11,All reasons,531,78,453,158,76,69,12,1,295,9,216,16,55,125,20,71,22,2,25,5,18
